 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
251,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0225-0001-0039:c:1/2 t:225/241 - 1 - Position 5.Project Maximum Z,4.5738,3.0198,4.3075,3.0198,4.3075,7.8380,2.5457,2.2876,99.1409,0.9356,225,1.1128,0.8986,0.9450
252,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0225-0002-0157:c:1/2 t:225/241 - 1 - Position 5.Project Maximum Z,4.5375,3.6533,17.4030,3.6533,17.4030,7.8113,2.5478,2.2676,69.0695,0.9345,225,1.1236,0.8900,0.9470
253,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0226-0001-0039:c:1/2 t:226/241 - 1 - Position 5.Project Maximum Z,4.4044,3.1474,4.3752,3.1474,4.3752,7.6825,2.5325,2.2144,122.1454,0.9378,226,1.1436,0.8744,0.9467
254,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0226-0002-0156:c:1/2 t:226/241 - 1 - Position 5.Project Maximum Z,4.3076,3.7595,17.2576,3.7595,17.2576,7.6558,2.6314,2.0843,65.5530,0.9236,226,1.2625,0.7921,0.9493
255,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0227-0001-0039:c:1/2 t:227/241 - 1 - Position 5.Project Maximum Z,4.3076,3.0188,4.3784,3.0188,4.3784,7.5913,2.4592,2.2302,147.8514,0.9393,227,1.1027,0.9069,0.9456
256,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0227-0002-0155:c:1/2 t:227/241 - 1 - Position 5.Project Maximum Z,4.1624,3.7646,17.1108,3.7646,17.1108,7.5002,2.5143,2.1078,71.4740,0.9298,227,1.1929,0.8383,0.9477
257,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0228-0001-0038:c:1/2 t:228/241 - 1 - Position 5.Project Maximum Z,4.2592,3.0109,4.2650,3.0109,4.2650,7.5647,2.4107,2.2496,131.9717,0.9353,228,1.0716,0.9332,0.9501
258,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0228-0002-0156:c:1/2 t:228/241 - 1 - Position 5.Project Maximum Z,4.3560,3.7263,17.1857,3.7263,17.1857,7.7202,2.5833,2.1470,69.9946,0.9184,228,1.2032,0.8311,0.9499
259,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0229-0001-0039:c:1/2 t:229/241 - 1 - Position 5.Project Maximum Z,4.1745,3.0684,4.2825,3.0684,4.2825,7.5913,2.4347,2.1830,125.0405,0.9103,229,1.1153,0.8966,0.9324
260,RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0229-0002-0152:c:1/2 t:229/241 - 1 - Position 5.Project Maximum Z,3.8962,3.8568,16.7613,3.8568,16.7613,7.3180,2.5131,1.9740,62.0046,0.9143,229,1.2731,0.7855,0.9527
