 ,Label,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
200,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0200-0001-0111:c:1/2 t:200/241 - 1 - Position 9.Project Maximum Z,6.9696,6.6136,12.1987,6.6136,12.1987,9.7803,3.2905,2.6969,102.7959,0.9156,200,1.2201,0.8196,0.9529
201,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0201-0001-0111:c:1/2 t:201/241 - 1 - Position 9.Project Maximum Z,6.4251,6.6884,12.2043,6.6884,12.2043,9.4958,3.0048,2.7225,93.2690,0.8954,201,1.1037,0.9060,0.9457
202,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0202-0001-0109:c:1/2 t:202/241 - 1 - Position 9.Project Maximum Z,6.0137,6.6842,12.1298,6.6842,12.1298,9.0936,3.0332,2.5243,122.9088,0.9139,202,1.2016,0.8322,0.9485
203,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0203-0001-0111:c:1/2 t:203/241 - 1 - Position 9.Project Maximum Z,6.5098,6.7155,12.2278,6.7155,12.2278,9.5336,3.2932,2.5168,91.7631,0.9000,203,1.3085,0.7643,0.9564
204,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0204-0001-0110:c:1/2 t:204/241 - 1 - Position 9.Project Maximum Z,6.6550,6.6580,12.1778,6.6580,12.1778,9.5603,3.2103,2.6394,108.2307,0.9150,204,1.2163,0.8222,0.9524
205,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0205-0001-0111:c:1/2 t:205/241 - 1 - Position 9.Project Maximum Z,6.7276,6.7417,12.2933,6.7417,12.2933,10.0270,3.6948,2.3184,107.6855,0.8409,205,1.5937,0.6275,0.9408
206,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0206-0001-0113:c:1/2 t:206/241 - 1 - Position 9.Project Maximum Z,6.3646,6.7537,12.4633,6.7537,12.4633,9.3780,3.3314,2.4325,92.8608,0.9094,206,1.3696,0.7302,0.9572
207,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0207-0001-0110:c:1/2 t:207/241 - 1 - Position 9.Project Maximum Z,5.4934,6.7175,12.1523,6.7175,12.1523,8.7558,2.7714,2.5238,106.5655,0.9005,207,1.0981,0.9107,0.9488
208,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0208-0001-0110:c:1/2 t:208/241 - 1 - Position 9.Project Maximum Z,6.1468,6.7442,12.1977,6.7442,12.1977,9.4047,2.9682,2.6367,126.4920,0.8733,208,1.1257,0.8883,0.9364
209,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0209-0001-0112:c:1/2 t:209/241 - 1 - Position 9.Project Maximum Z,6.5945,6.7666,12.4085,6.7666,12.4085,9.5603,3.3398,2.5140,66.0193,0.9067,209,1.3285,0.7527,0.9570
210,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0210-0001-0113:c:1/2 t:210/241 - 1 - Position 9.Project Maximum Z,6.0137,6.6245,12.3843,6.6245,12.3843,9.0025,2.8714,2.6666,107.9337,0.9325,210,1.0768,0.9287,0.9576
211,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0211-0001-0112:c:1/2 t:211/241 - 1 - Position 9.Project Maximum Z,6.4735,6.6367,12.3265,6.6367,12.3265,9.3780,3.0964,2.6619,95.8487,0.9250,211,1.1632,0.8597,0.9579
212,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0212-0001-0111:c:1/2 t:212/241 - 1 - Position 9.Project Maximum Z,7.0543,6.6314,12.1329,6.6314,12.1329,10.0914,3.4260,2.6217,92.4641,0.8705,212,1.3068,0.7652,0.9457
213,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0213-0001-0111:c:1/2 t:213/241 - 1 - Position 9.Project Maximum Z,6.2678,6.6187,12.1522,6.6187,12.1522,9.2381,2.9589,2.6971,122.6530,0.9229,213,1.0970,0.9115,0.9470
214,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0214-0001-0112:c:1/2 t:214/241 - 1 - Position 9.Project Maximum Z,6.5945,6.6574,12.2929,6.6574,12.2929,10.1825,3.5442,2.3691,86.7293,0.7992,214,1.4960,0.6684,0.9229
215,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0215-0001-0111:c:1/2 t:215/241 - 1 - Position 9.Project Maximum Z,6.0137,6.6369,12.2252,6.6369,12.2252,9.0025,2.8080,2.7268,88.9836,0.9325,215,1.0298,0.9711,0.9558
216,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0216-0001-0112:c:1/2 t:216/241 - 1 - Position 9.Project Maximum Z,5.9411,6.6808,12.2029,6.6808,12.2029,9.0025,2.9229,2.5880,78.4278,0.9212,216,1.1294,0.8854,0.9618
217,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0217-0001-0112:c:1/2 t:217/241 - 1 - Position 9.Project Maximum Z,5.1667,6.7297,12.2812,6.7297,12.2812,8.4713,2.8251,2.3286,95.5462,0.9047,217,1.2132,0.8243,0.9468
218,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0218-0001-0112:c:1/2 t:218/241 - 1 - Position 9.Project Maximum Z,7.3205,6.6152,12.2355,6.6152,12.2355,10.7137,3.7575,2.4806,76.6696,0.8014,218,1.5148,0.6602,0.9279
219,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0219-0001-0112:c:1/2 t:219/241 - 1 - Position 9.Project Maximum Z,10.6480,6.7078,12.3445,6.7078,12.3445,13.9225,5.7449,2.3599,76.1767,0.6903,219,2.4344,0.4108,0.9342
220,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0220-0001-0113:c:1/2 t:220/241 - 1 - Position 9.Project Maximum Z,9.1355,6.6678,12.3985,6.6678,12.3985,14.7915,6.2259,1.8683,78.3669,0.5247,220,3.3324,0.3001,0.8171
221,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0221-0001-0094:c:1/2 t:221/241 - 1 - Position 9.Project Maximum Z,3.7631,7.1650,10.3872,7.1650,10.3872,7.1247,2.4643,1.9443,50.2805,0.9316,221,1.2674,0.7890,0.9482
222,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0221-0002-0129:c:1/2 t:221/241 - 1 - Position 9.Project Maximum Z,4.7432,6.1931,14.2517,6.1931,14.2517,8.1492,2.7170,2.2228,97.5436,0.8975,221,1.2223,0.8181,0.9378
223,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0222-0001-0092:c:1/2 t:222/241 - 1 - Position 9.Project Maximum Z,4.1866,7.1300,10.0561,7.1300,10.0561,7.6935,2.5833,2.0635,62.1870,0.8888,222,1.2519,0.7988,0.9466
224,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0222-0002-0133:c:1/2 t:222/241 - 1 - Position 9.Project Maximum Z,4.4649,6.0033,14.7029,6.0033,14.7029,7.8113,2.5476,2.2314,86.0758,0.9195,222,1.1417,0.8759,0.9486
225,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0223-0001-0090:c:1/2 t:223/241 - 1 - Position 9.Project Maximum Z,3.6300,7.3429,9.8553,7.3429,9.8553,7.0335,2.3539,1.9635,69.0998,0.9221,223,1.1989,0.8341,0.9479
226,RoiMask_0_STL22_MAX_Maria_AFA4007_9-1.tif:0223-0002-0139:c:1/2 t:223/241 - 1 - Position 9.Project Maximum Z,3.9083,5.7757,15.3195,5.7757,15.3195,7.3447,2.4142,2.0612,73.0056,0.9104,223,1.1712,0.8538,0.9444
